lc_idx,bls_period,bls_duration,bls_t0,bls_power,bls_depth_ppm,bls_depth_err_ppm,label,activity_class,planet_present,planet_period_days,transit_depth_ppm,star_mass_msun,star_radius_rsun,file_id,above_threshold,period_match,recovered
130,0.6854723907651908,0.25,0.4459187494678262,32142.41598040658,5.214714309556488,0.025806320328915916,1,strong,0,,,1.1878152246217897,1.3072227282326787,0000000557,True,False,True
131,8.642804049576775,0.15000000000000002,7.8959187494678265,7359617.128198089,365.80216034448523,0.0961659761151556,3,strong,1,8.6438,322.07442856455805,1.108158976816778,1.1999864521726846,0000001368,True,True,True
132,15.571115655721536,0.15000000000000002,9.095918749467828,3202349.0096867676,324.0293960398143,0.12864381107846912,3,strong,1,15.5667,310.9295172207266,0.9371323271177828,0.8610475123042713,0000001178,True,True,True
133,0.6276303820053207,0.25,0.4459187494678262,34182.73453556583,5.147644492971526,0.025377296066268814,1,strong,0,,,1.1761010705328172,1.2602055301032309,0000000700,True,False,True
134,9.445647930074685,0.15000000000000002,1.2959187494678264,300964.49797469325,75.71431241370334,0.09839040740289454,3,strong,1,9.4464,93.29947369823464,1.096444822727806,1.2972273121695113,0000001489,True,True,True
135,0.5317446165266773,0.25,0.19591874946782617,10562.388981786526,2.632622538765946,0.024888938926290204,0,mild,0,,,1.140958608265676,1.1110805778139057,0000000240,False,False,False
136,0.5117370811932059,0.25,0.4459187494678262,33766.64954473275,4.292960940441454,0.024852218955223545,1,strong,0,,,1.136272946630538,1.388735080421414,0000000707,True,False,True
137,4.676208528441649,0.15000000000000002,1.6459187494678262,5875497.943447142,237.6871316103285,0.07047787655145771,2,mild,1,4.6758,260.2569956614477,0.9558749736601384,0.9829882894125938,0000001017,True,True,True
138,0.5019047921793934,0.25,0.2459187494678262,117367.63429850063,8.527513394623181,0.024845370157784784,1,strong,0,,,1.108158976816778,1.371855996241783,0000000654,True,False,True
139,28.004518212878775,0.15000000000000002,0.24591874946782621,144656.7672031028,89.64645596362993,0.1671315676162189,3,strong,1,28.009,124.77518421678064,1.0613023604607903,0.9814536187718216,0000001217,True,True,True
140,46.90421839332062,0.1,44.770918749467825,14990.945863111461,48.02394573080817,0.2776287235277611,0,mild,0,,,1.1198731309057504,1.254064184969093,0000000089,False,False,False
141,0.5856363600159453,0.25,0.4959187494678262,9167.545104738514,1.5973303645115617,0.025114263625716848,0,mild,0,,,0.9722747893846996,1.023010730345238,0000000005,False,False,False
142,0.6190650320603831,0.25,0.3959187494678262,38591.752537963686,5.430757206402966,0.025317643926163022,1,strong,0,,,0.903161280259804,0.8720501675034124,0000000464,True,False,True
143,0.5423661766285177,0.25,0.14591874946782618,32902.43757863143,4.69788259110837,0.024921294583381746,1,strong,0,,,0.9886746051092608,1.2044025333495405,0000000375,True,False,True
144,21.98921026783751,0.15000000000000002,14.045918749467827,1126142.3178688297,226.248286569989,0.15127011845442837,3,strong,1,21.9844,277.99685202831216,1.194843717075173,1.1297978804835545,0000001162,True,True,True
